id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl262_aacr_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Accounts Receivable,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6516,9,17,1.3,[]
mdl262_aacr_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Accounts Receivable,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8143,10,12,1.3,[]
mdl262_aacr_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Accounts Receivable,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6913,6,10,1.3,[]
mdl262_aacr_trkdpitdeltapredict_funda_predict,Predict value of Accounts Receivable,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8138,8,8,1.3,[]
mdl262_acae_a_profitability_profitability1,1st profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9545,12,15,1.3,[]
mdl262_acae_a_profitability_profitability10,10th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.5855,4,8,1.3,[]
mdl262_acae_a_profitability_profitability11,11th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.5954,9,14,1.3,[]
mdl262_acae_a_profitability_profitability12,12th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7726,7,13,1.3,[]
mdl262_acae_a_profitability_profitability2,2nd profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9542,5,9,1.3,[]
mdl262_acae_a_profitability_profitability3,3rd profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9178,5,8,1.3,[]
mdl262_acae_a_profitability_profitability4,4th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9172,3,6,1.3,[]
mdl262_acae_a_profitability_profitability5,5th Profitability Field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.89,17,27,1.3,[]
mdl262_acae_a_profitability_profitability6,6th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7943,3,4,1.3,[]
mdl262_acae_a_profitability_profitability7,7th Profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.738,2,2,1.3,[]
mdl262_acae_a_profitability_profitability8,8th profitability field of annual cash & equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7379,4,5,1.3,[]
mdl262_acae_a_profitability_profitability9,9th profitability field of Annual Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8061,4,9,1.3,[]
mdl262_acae_mae,Mean Average Error of the model of Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.3817,0,0,1.3,[]
mdl262_acae_predict,Predict Value of Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8804,4,4,1.3,[]
mdl262_acae_q_profitability_profitability1,1st profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8624,1,1,1.3,[]
mdl262_acae_q_profitability_profitability10,10th profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6033,0,0,1.3,[]
mdl262_acae_q_profitability_profitability11,11th Profitability Field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6027,1,1,1.3,[]
mdl262_acae_q_profitability_profitability12,12th profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7854,5,6,1.3,[]
mdl262_acae_q_profitability_profitability2,2nd profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8619,10,13,1.3,[]
mdl262_acae_q_profitability_profitability3,3rd profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8618,11,16,1.3,[]
mdl262_acae_q_profitability_profitability4,4th profitability field of Quarterly Cash & Equivalents,"{'id': 'model262', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8623,1,2,1.3,[]
