id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
pv73_2000_1_inverted,"Relationship score based on price and volume, in Top 2000 Universe","{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.436,0,0,1.1,[]
pv73_2000_1_related,"Relationship score based on price and volume, in Top 2000 Universe","{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.436,2,5,1.1,[]
pv73_3000_0_inverted,"Relationship score based on price and volume, in Top 3000 Universe","{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.4426,1,1,1.1,[]
pv73_3000_0_related,"Relationship score based on price and volume, in Top 3000 Universe","{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.4426,1,1,1.1,[]
pv73_analystest_relation,Relationship data based on analyst analysis,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5373,2,3,1.1,[]
pv73_analystest_score,Score to describe the closeness of the relationship between companies,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5373,1,3,1.1,[]
pv73_analystest_score_float,Score to describe the closeness of the relationship between companies,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5373,0,0,1.1,[]
pv73_bbgnews_relation,Relationship data based on daily bbgnews data,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5354,0,0,1.1,[]
pv73_bbgnews_score,Score to describe the closeness of the relationship between companies,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5354,1,1,1.1,[]
pv73_bbgnews_score_float,Score to describe the closeness of the relationship between companies,"{'id': 'pv73', 'name': 'Custom Relationship Data'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,VECTOR,0.5354,0,0,1.1,[]
