id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl11_cit2reg_industryperc,"Industry Percentile on CIT2, 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6908,65,1235,1.2,[]
anl11_cit2reg_industryrnk,"Industry rank on CIT2, 1 being the highest rank","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7221,37,117,1.2,[]
anl11_cit2regsubsecperc,"SubSector Percentile on CIT2, 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6908,55,78,1.2,[]
anl11_cit2regsubsecrnk,"Subsector rank on CIT2, 1 being the highest rank","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7221,50,165,1.2,[]
anl11_cit3reg_industryperc,Industry percentile on CIT3 with 100% being the best,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.603,24,57,1.2,[]
anl11_cit3reg_industryrnk,Industry rank on CIT3 with 1 being the highest rank,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.626,30,107,1.2,[]
anl11_cit3regsubsecperc,Subsector percentile on CIT3 with 100% being the best,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.603,22,83,1.2,[]
anl11_cit3regsubsecrnk,Subsector rank on CIT3 with 1 being the highest rank,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.626,20,28,1.2,[]
anl11_cit_totalcor,The CIT Hybrid Score weights the three CIT scores based on which are strongly rank correlated (to the positive) to financial metrics that are strongly rank correlated to 1-year and 3-year total returns for that company's peer group,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6803,37,82,1.2,[]
anl11_cit_totalcorregsectperc,"Sector Percentile on CIT Hybrid Score, with 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.678,25,54,1.2,[]
anl11_cit_totalcorregsectrnk,"Sector Rank on CIT Hybrid Score, with 1 being the highest rank","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6803,42,101,1.2,[]
anl11_cit_totalcorregsubsecperc,SubSector Percentile on CIT Hybrid Score with 100% being the best,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.678,35,67,1.2,[]
anl11_cit_totalcorregsubsecrnk,SubSector Rank on CIT Hybrid Score with 1 being the highest rank,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6803,36,80,1.2,[]
anl11_cit_ttcrg_industryperc,"Industry Percentile on CIT Hybrid Score, with 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.678,23,74,1.2,[]
