id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl16_1scermun,the number of recommendations with a value of 1,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.5695,62,107,1.2,[]
anl16_2scermun,the number of recommendations with a value of 2,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.5856,39,96,1.2,[]
anl16_3scermun,the number of recommendations with a value of 3,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.626,39,61,1.2,[]
anl16_actchgnorm_estcomsplitadj,Split adjusted change of actual value in fiscal report.,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7674,43,171,1.2,[]
anl16_actchgnorm_estnormcuradj,currency adjusted change of actual value in fiscal report,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7674,20,27,1.2,[]
anl16_actgrowth,The growth of actual value in the fiscal report during the past several years.,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.6032,10,13,1.2,[]
anl16_actnorm_estcomsplitadj,split adjusted normalized actual value in fiscal report,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7848,73,198,1.2,[]
anl16_actnorm_estnormcuradj,Currency-adjusted normalized actual value in the fiscal report.,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7848,51,80,1.2,[]
anl16_actstability,the stability of actual value in fiscal report,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.6033,12,19,1.2,[]
anl16_actsuescore,Sentiment score of actual value surprise,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.73,36,62,1.2,[]
anl16_actsurprise,actual value surprise in fiscal report,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7652,40,78,1.2,[]
anl16_actunit_scale,Unit scale.,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7848,45,78,1.2,[]
anl16_actunit_scale_ascontrib,unit scale contributed by the broker,"{'id': 'analyst16', 'name': 'Real Time Estimates'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",USA,1,TOP3000,VECTOR,0.7848,50,144,1.2,[]
