id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl30_numnly_fq1_eps,Number of SmartEstimate Analysts FQ1 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7907,146,949,1.3,[]
mdl30_numnly_fq2_eps,Number of SmartEstimate Analysts FQ2 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.789,106,708,1.3,[]
mdl30_numnly_fy1_eps,Number of SmartEstimate Analysts FY1 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8009,125,839,1.3,[]
mdl30_numnly_fy2_eps,Number of SmartEstimate Analysts FY2 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8001,113,622,1.3,[]
mdl30_psprise_pct_f12m_eps,Predicted Surprise % F12M EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7924,94,650,1.3,[]
mdl30_psprise_pct_fq1_eps,Predicted Surprise % FQ1 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7679,88,565,1.3,[]
mdl30_psprise_pct_fq2_eps,Predicted Surprise % FQ2 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7635,81,774,1.3,[]
mdl30_psprise_pct_fy1_eps,Predicted Surprise % FY1 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7961,96,618,1.3,[]
mdl30_psprise_pct_fy2_eps,Predicted Surprise % FY2 EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7945,91,539,1.3,[]
mdl30_smartestimate_f12m_eps,SmartEstimate F12M EPS,"{'id': 'model30', 'name': 'EPS Estimate Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7816,100,614,1.3,[]
