id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl307_atlas_unit_name,Atlas unit name,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.682,0,0,1.3,[]
mdl307_country,Country Code,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.682,0,0,1.3,[]
mdl307_cusip,Point in Time CUSIP,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.682,0,0,1.3,[]
mdl307_sales_pct_eu,Fraction of Sale Allocated to EU (ex GB),"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.309,0,0,1.3,[]
mdl307_sales_pct_unclassified,Fraction of Sale Unclassified,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.4623,0,0,1.3,[]
mdl307_sales_pct_us,Fraction of Sale Allocated to US,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.6737,0,0,1.3,[]
mdl307_sector,Sector,"{'id': 'model307', 'name': 'Global Sales Allocation Model Data'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,VECTOR,0.682,0,0,1.3,[]
